NegotiationID;Day;Month;Year;Hours;Minutes;SenderID;SenderBestCase;SenderWorstCase;ReceiverID ;ReceiverBestCase 1;ReceiverWorstCase 1;JointUtility (Best);JointUtility (Worst);ContractImbalance (Best);ContractImbalance (Worst);Value 1= - ;Value 1=h;Value 1=g;Value 1=i;Value 1=j;Utility_Issue1;Value 2= - ;Value 2=z;Value 2=y;Value 2=x;Utility_Issue2;Value 3= - ;Value 3=n;Value 3=m;Value 3=l;Value 3=k;Utility_Issue3;Value 4= - ;Value 4=r;Value 4=s;Value 4=q;Value 4=p;Value 4=t;Utility_Issue4;Value 5= - ;Value 5=b;Value 5=a;Value 5=c;Utility_Issue5;MessageType
449;4;12;2017;21;22;452;0.8704;0.2304;451;0.8;0.18;1.6704;0.4104;0.0704;0.0504;1;0;0;0;0;0;0;0;1;0;0.2;0;0;0;0;1;0.0304;1;0;0;0;0;0;0;1;0;0;0;0;1
449;5;12;2017;23;37;451;0.8704;0.2304;452;0.8;0.18;1.6704;0.4104;0.0704;0.0504;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2
449;6;12;2017;14;39;452;0.8704;0.2304;451;0.8;0.18;1.6704;0.4104;0.0704;0.0504;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3
449;6;12;2017;15;22;451;0.7068;0.7068;452;0.3804;0.3804;1.0872;1.0872;0.3264;0.3264;0;1;0;0;0;0.0588;0;1;0;0;0.128;0;0;0;0;1;0.18;0;0;0;1;0;0;0.16;0;1;0;0;0.18;1
449;6;12;2017;15;42;452;0.5104;0.5104;451;0.4864;0.4864;0.9968;0.9968;0.024;0.024;0;0;0;1;0;0.12;0;0;1;0;0.2;0;0;0;0;1;0.0304;0;0;1;0;0;0;0.16;0;1;0;0;0;1
449;6;12;2017;17;40;451;0.5104;0.5104;452;0.4864;0.4864;0.9968;0.9968;0.024;0.024;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2
449;6;12;2017;17;51;452;0.5104;0.5104;451;0.4864;0.4864;0.9968;0.9968;0.024;0.024;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3
449;6;12;2017;18;21;451;0.6218;0.6218;452;0.474;0.474;1.0958;1.0958;0.1478;0.1478;0;0;1;0;0;0.28;0;0;0;1;0.2;0;0;0;1;0;0.0522;0;0;0;0;1;0;0.0896;0;0;1;0;0;1
449;6;12;2017;19;1;452;0.5544;0.5544;451;0.5788;0.5788;1.1332;1.1332;0.0244;0.0244;0;1;0;0;0;0.3;0;0;1;0;0.2;0;0;0;0;1;0.0304;0;0;0;1;0;0;0.024;0;1;0;0;0;1
449;7;12;2017;10;12;451;0.5788;0.5788;452;0.5544;0.5544;1.1332;1.1332;0.0244;0.0244;0;1;0;0;0;0.0588;0;0;1;0;0;0;0;0;0;1;0.18;0;0;0;1;0;0;0.16;0;1;0;0;0.18;4
865;4;12;2017;9;33;867;0.8902;0.8902;868;0.078;0.078;0.9682;0.9682;0.8122;0.8122;0;0;1;0;0;0.28;0;0;0;1;0.2;0;1;0;0;0;0.0702;0;0;0;1;0;0;0.16;0;1;0;0;0.18;0
865;4;12;2017;12;43;868;1;1;867;0.1254;0.1254;1.1254;1.1254;0.8746;0.8746;0;1;0;0;0;0.3;0;0;1;0;0.2;0;0;0;1;0;0.16;0;0;1;0;0;0;0.16;0;0;1;0;0.18;1
865;5;12;2017;9;35;867;0.8582;0.8582;868;0.0988;0.0988;0.957;0.957;0.7594;0.7594;0;0;1;0;0;0.28;0;0;0;1;0.2;0;1;0;0;0;0.0702;0;1;0;0;0;0;0.128;0;1;0;0;0.18;1
865;5;12;2017;23;20;868;1;1;867;0.1254;0.1254;1.1254;1.1254;0.8746;0.8746;0;1;0;0;0;0.3;0;0;1;0;0.2;0;0;0;1;0;0.16;0;0;1;0;0;0;0.16;0;0;1;0;0.18;1
865;6;12;2017;11;49;867;0.824;0.824;868;0.1778;0.1778;1.0018;1.0018;0.6462;0.6462;0;0;1;0;0;0.28;0;0;0;1;0.2;0;0;0;0;1;0.18;0;1;0;0;0;0;0.128;0;0;0;1;0.036;1
865;6;12;2017;13;47;868;0.746;0.746;867;0.3286;0.3286;1.0746;1.0746;0.4174;0.4174;0;1;0;0;0;0.3;0;1;0;0;0.026;0;0;0;1;0;0.16;0;0;0;0;1;0;0.08;0;0;1;0;0.18;1
865;6;12;2017;21;10;867;0.752;0.752;868;0.2038;0.2038;0.9558;0.9558;0.5482;0.5482;0;0;1;0;0;0.28;0;1;0;0;0.128;0;0;0;0;1;0.18;0;1;0;0;0;0;0.128;0;0;0;1;0.036;1
865;7;12;2017;0;21;868;0.826;0.826;867;0.2534;0.2534;1.0794;1.0794;0.5726;0.5726;0;1;0;0;0;0.3;0;1;0;0;0.026;0;0;0;1;0;0.16;0;0;1;0;0;0;0.16;0;0;1;0;0.18;1
865;7;12;2017;19;45;867;0.7136;0.7136;868;0.239;0.239;0.9526;0.9526;0.4746;0.4746;0;0;1;0;0;0.28;0;1;0;0;0.128;0;0;0;0;1;0.18;0;0;0;0;1;0;0.0896;0;0;0;1;0.036;1
865;7;12;2017;20;19;868;0.6176;0.6176;867;0.3484;0.3484;0.966;0.966;0.2692;0.2692;0;1;0;0;0;0.3;0;0;0;1;0;0;0;1;0;0;0.0576;0;0;0;0;1;0;0.08;0;0;1;0;0.18;1
865;7;12;2017;21;22;867;0.7856;0.7856;868;0.213;0.213;0.9986;0.9986;0.5726;0.5726;0;0;1;0;0;0.28;0;0;0;1;0.2;0;0;0;0;1;0.18;0;0;0;0;1;0;0.0896;0;0;0;1;0.036;1
